Date,GOFXX
2023-06-01,1.0
2023-06-22,1.0
2023-06-27,1.0
2023-06-29,1.0
2023-07-12,1.0
2023-07-24,1.0
2023-08-04,1.0
2023-08-18,1.0
2023-08-21,1.0
2023-09-18,1.0
2023-10-12,1.0
2023-10-17,1.0
2023-10-18,1.0
2023-10-26,1.0
2023-11-17,1.0
2023-11-28,1.0
2023-12-05,1.0
2023-12-06,1.0
2023-12-07,1.0
2023-12-12,1.0
2023-12-14,1.0
2023-12-15,1.0
2023-12-18,1.0
2023-12-19,1.0
2023-12-20,1.0
2023-12-21,1.0
2023-12-22,1.0
2023-12-26,1.0
2023-12-28,1.0
2024-01-03,1.0
2024-01-04,1.0
2024-01-11,1.0
2024-01-16,1.0
2024-01-18,1.0
2024-01-19,1.0
2024-01-22,1.0
2024-01-23,1.0
2024-01-24,1.0
2024-01-25,1.0
2024-01-26,1.0
2024-01-30,1.0
2024-02-01,1.0
2024-02-05,1.0
2024-02-06,1.0
2024-02-07,1.0
2024-02-08,1.0
2024-02-09,1.0
2024-02-13,1.0
2024-02-15,1.0
2024-02-16,1.0
2024-02-20,1.0
2024-02-21,1.0
2024-02-22,1.0
2024-02-23,1.0
2024-02-26,1.0
2024-02-28,1.0
2024-02-29,1.0
2024-03-04,1.0
2024-03-06,1.0
2024-03-07,1.0
2024-03-08,1.0
2024-03-11,1.0
2024-03-12,1.0
2024-03-14,1.0
2024-03-18,1.0
2024-03-19,1.0
2024-03-22,1.0
2024-03-25,1.0
2024-03-26,1.0
2024-03-27,1.0
2024-03-28,1.0
2024-04-01,1.0
2024-04-02,1.0
2024-04-04,1.0
2024-04-05,1.0
2024-04-08,1.0
2024-04-09,1.0
2024-04-10,1.0
2024-04-11,1.0
2024-04-12,1.0
2024-04-15,1.0
2024-04-16,1.0
2024-04-17,1.0
2024-04-18,1.0
2024-04-19,1.0
2024-04-22,1.0
2024-04-23,1.0
2024-04-24,1.0
2024-04-25,1.0
2024-04-26,1.0
2024-04-29,1.0
2024-05-02,1.0
2024-05-03,1.0
2024-05-08,1.0
2024-05-09,1.0
2024-05-10,1.0
2024-05-13,1.0
2024-05-14,1.0
2024-05-15,1.0
2024-05-16,1.0
2024-05-17,1.0
2024-05-22,1.0
2024-05-23,1.0
2024-05-30,1.0
2024-06-10,1.0
2024-06-17,1.0
2024-06-20,1.0
2024-06-24,1.0
2024-07-02,1.0
2024-07-08,1.0
2024-07-11,1.0
2024-07-15,1.0
2024-07-19,1.0
2024-11-04,1.0
2024-11-13,1.0
2024-11-19,1.0
2024-11-20,1.0
