Date,FBAVX
2024-10-28,29.850000381469727
2024-10-29,29.899999618530273
2024-10-30,29.829999923706055
2024-10-31,29.440000534057617
2024-11-01,29.489999771118164
2024-11-04,29.510000228881836
2024-11-05,29.760000228881836
2024-11-06,30.15999984741211
2024-11-07,30.420000076293945
2024-11-08,30.5
2024-11-11,30.520000457763672
2024-11-12,30.43000030517578
2024-11-13,30.389999389648438
2024-11-14,30.280000686645508
2024-11-15,29.969999313354492
2024-11-18,30.059999465942383
2024-11-19,30.200000762939453
2024-11-20,30.200000762939453
2024-11-21,30.299999237060547
