Date,VEEV
2022-02-28,229.0500030517578
2022-03-01,232.0500030517578
2022-03-02,230.6199951171875
2022-03-03,193.16000366210938
2022-03-04,187.69000244140625
2022-03-07,181.5
2022-03-08,181.8300018310547
2022-03-09,188.64999389648438
2022-03-10,184.35000610351562
2022-03-11,174.44000244140625
2022-03-14,170.7899932861328
2022-03-15,174.02999877929688
2022-03-16,184.82000732421875
2022-03-17,191.75999450683594
2022-03-18,197.1699981689453
2022-03-21,194.4199981689453
2022-03-22,200.0800018310547
2022-03-23,197.25999450683594
2022-03-24,197.75
2022-03-25,195.8800048828125
2022-03-28,199.8800048828125
2022-03-29,215.1699981689453
2022-03-30,214.00999450683594
2022-03-31,212.4600067138672
2022-04-01,216.75999450683594
2022-04-04,216.02000427246094
2022-04-05,212.38999938964844
2022-04-06,207.47999572753906
2022-04-07,204.13999938964844
2022-04-08,196.36000061035156
2022-04-11,195.6699981689453
2022-04-12,191.72000122070312
2022-04-13,197.1999969482422
2022-04-14,191.4600067138672
2022-04-18,188.13999938964844
2022-04-19,199.25999450683594
2022-04-20,193.1699981689453
2022-04-21,185.97999572753906
2022-04-22,183.97000122070312
2022-04-25,184.10000610351562
2022-04-26,180.22000122070312
2022-04-27,180.10000610351562
2022-04-28,185.0
2022-04-29,181.9499969482422
2022-05-02,187.58999633789062
2022-05-03,183.6999969482422
2022-05-04,188.19000244140625
2022-05-05,178.4499969482422
2022-05-06,174.86000061035156
2022-05-09,166.1199951171875
2022-05-10,164.74000549316406
2022-05-11,160.05999755859375
2022-05-12,164.14999389648438
2022-05-13,172.77999877929688
2022-05-16,162.27000427246094
2022-05-17,163.67999267578125
2022-05-18,153.10000610351562
2022-05-19,163.16000366210938
2022-05-20,164.50999450683594
2022-05-23,163.02000427246094
2022-05-24,157.99000549316406
2022-05-25,161.4199981689453
2022-05-26,165.50999450683594
2022-05-27,172.0
2022-05-31,170.25999450683594
2022-06-01,167.83999633789062
2022-06-02,192.5500030517578
2022-06-03,187.97000122070312
2022-06-06,188.9499969482422
2022-06-07,192.05999755859375
2022-06-08,191.4499969482422
2022-06-09,187.72999572753906
2022-06-10,183.66000366210938
2022-06-13,178.39999389648438
2022-06-14,179.32000732421875
2022-06-15,183.1699981689453
2022-06-16,177.0
2022-06-17,183.64999389648438
2022-06-21,185.42999267578125
2022-06-22,187.6699981689453
2022-06-23,199.9199981689453
2022-06-24,207.0399932861328
2022-06-27,208.07000732421875
2022-06-28,200.50999450683594
2022-06-29,199.74000549316406
2022-06-30,198.0399932861328
2022-07-01,204.11000061035156
2022-07-05,207.16000366210938
2022-07-06,205.9499969482422
2022-07-07,210.2100067138672
2022-07-08,210.0500030517578
2022-07-11,205.52000427246094
2022-07-12,200.47999572753906
2022-07-13,200.47000122070312
2022-07-14,198.19000244140625
2022-07-15,203.0800018310547
2022-07-18,200.13999938964844
2022-07-19,204.47999572753906
2022-07-20,210.0
2022-07-21,214.7100067138672
2022-07-22,213.77000427246094
2022-07-25,211.57000732421875
2022-07-26,206.94000244140625
2022-07-27,217.66000366210938
2022-07-28,222.42999267578125
2022-07-29,223.5800018310547
2022-08-01,224.2899932861328
2022-08-02,224.0
2022-08-03,227.66000366210938
2022-08-04,231.91000366210938
2022-08-05,227.3000030517578
2022-08-08,225.66000366210938
2022-08-09,222.0500030517578
2022-08-10,228.08999633789062
2022-08-11,224.64999389648438
2022-08-12,225.3699951171875
2022-08-15,228.9600067138672
2022-08-16,229.5500030517578
2022-08-17,225.1199951171875
2022-08-18,224.39999389648438
2022-08-19,219.2100067138672
2022-08-22,214.08999633789062
2022-08-23,211.52999877929688
2022-08-24,213.8699951171875
2022-08-25,218.1199951171875
2022-08-26,206.49000549316406
2022-08-29,203.1999969482422
2022-08-30,202.16000366210938
2022-08-31,199.32000732421875
2022-09-01,171.4199981689453
2022-09-02,169.97000122070312
2022-09-06,168.27000427246094
2022-09-07,171.19000244140625
2022-09-08,174.57000732421875
2022-09-09,179.19000244140625
2022-09-12,180.2100067138672
2022-09-13,172.3699951171875
2022-09-14,174.19000244140625
2022-09-15,174.8300018310547
2022-09-16,175.02999877929688
2022-09-19,172.5500030517578
2022-09-20,168.0399932861328
2022-09-21,166.8000030517578
2022-09-22,162.8800048828125
2022-09-23,162.57000732421875
2022-09-26,157.99000549316406
2022-09-27,161.22999572753906
2022-09-28,164.72000122070312
2022-09-29,164.80999755859375
2022-09-30,164.8800048828125
2022-10-03,166.7100067138672
2022-10-04,172.74000549316406
2022-10-05,172.3699951171875
2022-10-06,173.67999267578125
2022-10-07,165.8300018310547
2022-10-10,164.2100067138672
2022-10-11,162.25999450683594
2022-10-12,160.5
2022-10-13,155.9499969482422
2022-10-14,151.10000610351562
2022-10-17,157.86000061035156
2022-10-18,159.1699981689453
2022-10-19,156.1999969482422
2022-10-20,156.27000427246094
2022-10-21,157.6300048828125
2022-10-24,158.39999389648438
2022-10-25,166.67999267578125
2022-10-26,165.22000122070312
2022-10-27,170.50999450683594
2022-10-28,171.5800018310547
2022-10-31,167.94000244140625
2022-11-01,163.75
2022-11-02,158.4499969482422
2022-11-03,167.14999389648438
2022-11-04,166.80999755859375
2022-11-07,171.50999450683594
2022-11-08,173.67999267578125
2022-11-09,170.60000610351562
2022-11-10,187.7899932861328
2022-11-11,191.02000427246094
2022-11-14,188.3000030517578
2022-11-15,191.66000366210938
2022-11-16,189.25999450683594
2022-11-17,183.77000427246094
2022-11-18,184.0800018310547
2022-11-21,181.67999267578125
2022-11-22,185.5399932861328
2022-11-23,188.05999755859375
2022-11-25,185.66000366210938
2022-11-28,186.6699981689453
2022-11-29,182.44000244140625
2022-11-30,190.36000061035156
2022-12-01,191.4199981689453
2022-12-02,174.89999389648438
2022-12-05,167.24000549316406
2022-12-06,168.52999877929688
2022-12-07,165.30999755859375
2022-12-08,173.02999877929688
2022-12-09,172.1699981689453
2022-12-12,171.60000610351562
2022-12-13,176.9600067138672
2022-12-14,176.27000427246094
2022-12-15,169.88999938964844
2022-12-16,168.25999450683594
2022-12-19,167.27999877929688
