Date,WRD
2024-10-25,16.549999237060547
2024-10-28,17.0
2024-10-29,15.40999984741211
2024-10-30,15.25
2024-10-31,14.770000457763672
2024-11-01,14.520000457763672
2024-11-04,15.460000038146973
2024-11-05,15.569999694824219
2024-11-06,15.510000228881836
2024-11-07,15.65999984741211
2024-11-08,15.5
2024-11-11,22.469999313354492
2024-11-12,17.18000030517578
2024-11-13,19.040000915527344
2024-11-14,15.789999961853027
2024-11-15,17.3700008392334
2024-11-18,18.329999923706055
2024-11-19,19.290000915527344
2024-11-20,17.700000762939453
2024-11-21,18.200000762939453
